topic	'gravy'	'trainer'	'candle'	'bus'	'tree'	'goalie'	'singer'	'woman'	'touched'	'stretched'	'lit'	'hit'	'crushed'	'kicked'	'kissed'	'consoled'	'broccoli'	'dancer'	'match'	'truck'	'car'	'referee'	'guitarist'	'man'
98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1938
100	0	15	0	0	0	0	357	487	0	0	51	602	0	0	0	0	0	0	0	119	329	0	0	1000
101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	0	0	0	0	0	0	0	0	0	0	30	0	240	1	0	0	0	0	0	58	0	0	0	0
104	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0
106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	0	0	19	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0
109	0	0	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	156
110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	709
113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	1158	0	0	0
114	0	0	0	0	0	0	0	825	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	4594
115	0	0	0	0	0	0	0	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	0	0	0	1300	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	0	0	0	0	0	0	0	0	0	132	0	237	0	0	0	0	0	0	0	0	0	0	0	0
124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	0	0	0	0	1329	0	0	232	1408	53	58	4552	234	0	0	0	0	0	0	413	113	0	0	524
127	0	0	0	0	24	0	0	0	0	0	0	708	0	0	0	0	0	0	0	0	0	0	0	0
128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130	0	742	0	0	0	0	0	0	0	127	0	174	0	0	0	0	0	0	0	0	0	0	0	0
131	0	0	0	0	0	0	0	831	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	5089
132	0	0	0	350	0	0	0	0	0	92	49	0	0	0	0	0	0	0	0	25	782	0	0	0
133	0	0	0	0	0	0	0	0	63	75	0	30	0	0	0	0	0	0	0	26	319	0	0	0
134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	718
135	0	0	0	0	0	0	0	575	0	55	0	0	0	0	0	0	0	37	0	0	0	0	0	0
136	0	0	0	0	128	0	0	0	0	133	0	0	53	0	0	0	0	0	0	0	0	0	0	3895
137	0	0	0	71	0	0	2906	0	0	0	0	2251	0	212	0	0	0	0	0	0	151	0	8743	0
138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	0	0	0	0	0	0	0	0	0	0	0	1043	89	1798	0	0	0	0	0	0	0	0	0	0
140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
